FIPS_Code,State,Area_Name,Rural_Urban_Continuum_Code_2013,Urban_Influence_Code_2013,Metro_2013,Civilian_labor_force_2020,Employed_2020,Unemployed_2020,Unemployment_rate_2020,Median_Household_Income_2021,Med_HH_Income_Percent_of_State_Total_2021
00000,US,United States,,,,"161,483,724","148,453,335","13,030,389",8.1,"69,717",
01000,AL,Alabama,,,,"2,269,672","2,124,409","145,263",6.4,"53,990",100
01001,AL,"Autauga County, AL",2,2,1,"26,425","25,023","1,402",5.3,"66,444",123.1
01003,AL,"Baldwin County, AL",3,2,1,"98,979","92,893","6,086",6.1,"65,658",121.6
01005,AL,"Barbour County, AL",6,6,0,"8,684","8,017",667,7.7,"38,649",71.6
01007,AL,"Bibb County, AL",1,1,1,"8,717","8,085",632,7.3,"48,454",89.7
01009,AL,"Blount County, AL",1,1,1,"25,136","24,010","1,126",4.5,"56,894",105.4
01011,AL,"Bullock County, AL",6,6,0,"4,880","4,589",291,6,"32,027",59.3
01013,AL,"Butler County, AL",6,6,0,"9,238","8,357",881,9.5,"39,442",73.1
01015,AL,"Calhoun County, AL",3,2,1,"47,047","43,434","3,613",7.7,"48,166",89.2
01017,AL,"Chambers County, AL",6,5,0,"16,102","14,907","1,195",7.4,"45,447",84.2
01019,AL,"Cherokee County, AL",6,6,0,"11,682","11,090",592,5.1,"46,365",85.9
01021,AL,"Chilton County, AL",1,1,1,"19,951","18,868","1,083",5.4,"55,142",102.1
01023,AL,"Choctaw County, AL",9,10,0,"4,700","4,357",343,7.3,"40,601",75.2
01025,AL,"Clarke County, AL",7,11,0,"7,898","7,127",771,9.8,"45,447",84.2
01027,AL,"Clay County, AL",9,10,0,"6,146","5,874",272,4.4,"47,036",87.1
01029,AL,"Cleburne County, AL",8,4,0,"5,857","5,564",293,5,"49,769",92.2
01031,AL,"Coffee County, AL",4,5,0,"22,025","20,970","1,055",4.8,"55,052",102
01033,AL,"Colbert County, AL",3,2,1,"23,907","22,186","1,721",7.2,"53,341",98.8
01035,AL,"Conecuh County, AL",7,11,0,"4,583","4,220",363,7.9,"35,621",66
01037,AL,"Coosa County, AL",8,3,0,"4,431","4,163",268,6,"45,954",85.1
01039,AL,"Covington County, AL",6,6,0,"15,352","14,522",830,5.4,"44,188",81.8
01041,AL,"Crenshaw County, AL",8,6,0,"6,375","5,980",395,6.2,"38,037",70.5
