FIPS Code,State,Area name,2023 Rural-urban Continuum Code,"Less than a high school diploma, 2018-22","High school diploma only, 2018-22","Some college or associate's degree, 2018-22","Bachelor's degree or higher, 2018-22","Percent of adults with less than a high school diploma, 2018-22","Percent of adults with a high school diploma only, 2018-22","Percent of adults completing some college or associate's degree, 2018-22","Percent of adults with a bachelor's degree or higher, 2018-22"
00000,US,United States,,"24,599,698","59,741,825","64,508,122","77,751,347",10.9,26.4,28.5,34.3
01000,AL,Alabama,,"421,180","1,041,725","1,032,770","932,845",12.3,30.4,30.1,27.2
01001,AL,Autauga County,2,"3,857","12,517","11,935","11,879",9.6,31.1,29.7,29.6
01003,AL,Baldwin County,3,"14,031","46,391","52,215","54,385",8.4,27.8,31.3,32.6
01005,AL,Barbour County,6,"4,155","6,507","4,913","2,100",23.5,36.8,27.8,11.9
01007,AL,Bibb County,1,"3,366","6,510","4,310","1,739",21.1,40.9,27.1,10.9
01009,AL,Blount County,1,"7,447","14,414","12,939","6,017",18.2,35.3,31.7,14.7
01011,AL,Bullock County,8,"1,905","2,957","1,623",671,26.6,41.3,22.7,9.4
01013,AL,Butler County,6,"1,646","6,364","3,525","1,731",12.4,48,26.6,13
01015,AL,Calhoun County,3,"11,783","27,278","24,752","15,118",14.9,34.6,31.4,19.2
01017,AL,Chambers County,6,"4,087","9,763","7,710","3,146",16.5,39.5,31.2,12.7
01019,AL,Cherokee County,8,"3,348","6,678","5,794","2,703",18.1,36.1,31.3,14.6
01021,AL,Chilton County,1,"5,460","12,737","8,135","4,277",17.8,41.6,26.6,14
01023,AL,Choctaw County,9,"1,594","3,460","2,817","1,181",17.6,38.2,31.1,13
01025,AL,Clarke County,9,"2,980","6,569","4,261","2,205",18.6,41,26.6,13.8
01027,AL,Clay County,9,"1,675","3,761","3,334","1,283",16.7,37.4,33.2,12.8
01029,AL,Cleburne County,8,"1,855","4,145","2,877","1,753",17.5,39,27.1,16.5
01031,AL,Coffee County,4,"4,891","10,581","13,185","7,899",13.4,28.9,36.1,21.6
01033,AL,Colbert County,3,"5,561","14,960","12,946","7,368",13.6,36.6,31.7,18
01035,AL,Conecuh County,9,886,"4,046","2,334","1,116",10.6,48.3,27.8,13.3
01037,AL,Coosa County,8,"1,329","3,334","2,530",856,16.5,41.4,31.4,10.6
01039,AL,Covington County,6,"3,767","9,593","8,774","4,313",14.2,36.3,33.2,16.3
01041,AL,Crenshaw County,8,"1,640","3,885","2,050","1,573",17.9,42.5,22.4,17.2
01043,AL,Cullman County,4,"9,466","19,297","21,501","11,256",15.4,31.4,34.9,18.3
01045,AL,Dale County,4,"4,830","10,554","11,848","6,455",14.3,31.3,35.2,19.2
01047,AL,Dallas County,4,"3,817","10,304","7,785","4,078",14.7,39.7,30,15.7
01049,AL,DeKalb County,6,"10,777","15,375","15,387","6,846",22.3,31.8,31.8,14.1
01051,AL,Elmore County,2,"6,992","20,640","18,665","14,749",11.5,33.8,30.6,24.2
01053,AL,Escambia County,6,"4,515","11,293","6,456","3,197",17.7,44.4,25.4,12.6
01055,AL,Etowah County,3,"10,094","24,304","25,432","12,885",13.9,33.4,35,17.7
01057,AL,Fayette County,8,"1,858","4,551","3,533","1,486",16.3,39.8,30.9,13
01059,AL,Franklin County,6,"4,249","8,571","5,365","3,166",19.9,40.1,25.1,14.8
01061,AL,Geneva County,3,"3,151","6,960","6,230","2,641",16.6,36.7,32.8,13.9
01063,AL,Greene County,2,987,"2,023","1,528",911,18.1,37.1,28,16.7
01065,AL,Hale County,2,"1,939","3,768","2,639","1,634",19.4,37.8,26.4,16.4
01067,AL,Henry County,3,"2,320","4,121","3,487","2,633",18.5,32.8,27.8,21
01069,AL,Houston County,3,"9,164","23,675","24,535","16,619",12.4,32,33.2,22.5
01071,AL,Jackson County,6,"6,795","14,144","10,761","6,123",18,37.4,28.5,16.2
01073,AL,Jefferson County,1,"40,868","119,359","134,411","162,672",8.9,26.1,29.4,35.6
01075,AL,Lamar County,8,"1,774","4,043","3,064","1,013",17.9,40.9,31,10.2
01077,AL,Lauderdale County,3,"7,239","22,507","18,144","16,674",11.2,34.9,28.1,25.8
01079,AL,Lawrence County,3,"4,070","9,660","6,043","3,705",17.3,41.1,25.7,15.8
01081,AL,Lee County,3,"8,875","23,274","31,927","43,008",8.3,21.7,29.8,40.2
01083,AL,Limestone County,2,"9,260","20,320","21,910","21,577",12.7,27.8,30,29.5
01085,AL,Lowndes County,2,"1,173","2,925","1,789","1,148",16.7,41.6,25.4,16.3
01087,AL,Macon County,3,"2,053","3,763","3,622","2,442",17.3,31.7,30.5,20.6
01089,AL,Madison County,2,"20,784","50,873","75,132","120,516",7.8,19,28.1,45.1
01091,AL,Marengo County,6,"1,416","4,633","4,094","2,854",10.9,35.6,31.5,22
01093,AL,Marion County,9,"4,028","7,376","6,922","2,459",19.4,35.5,33.3,11.8
01095,AL,Marshall County,4,"10,161","20,737","20,174","13,923",15.6,31.9,31,21.4
01097,AL,Mobile County,2,"33,210","95,565","83,342","67,751",11.9,34.1,29.8,24.2
01099,AL,Monroe County,8,"2,235","6,035","3,585","1,852",16.3,44,26.2,13.5
01101,AL,Montgomery County,2,"18,222","38,816","43,402","51,002",12,25.6,28.7,33.7
01103,AL,Morgan County,3,"12,535","26,134","25,965","20,240",14.8,30.8,30.6,23.8
01105,AL,Perry County,8,"1,085","2,280","1,140",809,20.4,42.9,21.5,15.2
01107,AL,Pickens County,2,"2,046","5,588","3,986","1,972",15.1,41.1,29.3,14.5
01109,AL,Pike County,6,"2,324","6,957","4,602","5,322",12.1,36.2,24,27.7
01111,AL,Randolph County,8,"2,808","5,443","4,427","2,936",18,34.9,28.4,18.8
01113,AL,Russell County,2,"5,904","11,794","15,646","6,524",14.8,29.6,39.2,16.4
01115,AL,St. Clair County,1,"8,203","22,916","20,933","12,471",12.7,35.5,32.4,19.3
01117,AL,Shelby County,1,"9,537","30,961","43,079","70,068",6.2,20.2,28,45.6
01119,AL,Sumter County,8,823,"2,369","2,562","1,600",11.2,32.2,34.8,21.8
